,x
1,伊拉克
13,英国
24,马拉维
35,山东
36,批援
37,鄂
38,医疗
39,队员
41,静静
43,全力
44,抢救无效
45,不幸逝世
46,埃塞俄比亚
57,新加坡
67,利比里亚
78,巴基斯坦
90,毛里求斯
101,吉布提
110,英国伦敦
113,公交系统
114,工作者
119,死亡
120,缅甸
131,圣多美和普林西比
132,首次
133,报告
140,坦桑尼亚
151,西班牙
154,医护人员
155,感染
157,病毒
158,葡萄牙
170,德国
171,要求
173,抵德
174,旅客
175,进行
178,自我
179,隔离
180,越南
185,增至
188,阿塞拜疆
200,阿联酋
210,沙特
218,肯尼亚
228,斯洛伐克
236,高级别
237,口罩
238,仅供
239,医护人员
241,政府
242,机构
243,马耳他
253,哈萨克斯坦
263,医务人员
265,多哥
276,马里
287,比利时
298,约翰斯
299,霍普金斯大学
300,全球
302,死亡
304,超过
306,万例
308,多名
309,医疗
310,队员
311,今日
312,撤离
313,武汉
314,印度政府
315,下调
316,内阁
317,成员
318,未来
320,工资
323,应对
324,疫情
325,喀麦隆
335,安道尔
340,增至
343,死亡
346,尼泊尔
347,再次
348,延长
349,封
351,措施
352,刚果
364,阿富汗
372,黎巴嫩
377,人数
378,上升
382,王辰
383,院士
384,提醒
385,不要
387,抗疫
389,胜利
390,引导
391,线上
392,踏青
393,文明
394,祭扫
395,清明节
396,期间
397,北京
399,博物馆
400,推出
403,主题
404,活动
406,日美军
407,宣布
408,关东地区
409,美军基地
410,进入
411,公共卫生
412,紧急状态
413,云南
416,陆路
417,口岸
420,通道
421,暂停
422,客运
423,功能
425,保留
426,货运
427,通行
428,功能
429,上海
430,援鄂
431,医疗队
434,今日
435,平安
437,沪
438,世卫
439,组织
440,全球
444,超过
446,万例
447,菲律宾
448,总统
449,捐
450,工资
451,助力
452,本国
453,疫情
454,防控
455,日本
456,国内
459,感染者
460,人数
461,超
463,英国
464,百货
465,连锁
466,公司
467,Debenhams
468,濒临破产
469,伊朗
475,超
477,万
478,伊朗
490,马来西亚
501,印度
503,万个
504,快速
505,检验
506,试剂盒
508,投入使用
509,安倍
512,于
515,发布
516,紧急
517,事态
518,宣言
519,西班牙
526,援鄂
527,医疗队
528,专家
529,无症状
530,感染者
531,数量
532,少且
533,有迹可循
534,无需
535,恐慌
536,科威特
546,印尼
557,全球
558,感染
559,人数
560,超
562,万例
563,孟加拉国
573,西班牙
574,雷普
575,索尔
576,公司
578,总裁
579,因新冠
581,去世
582,匈牙利
594,菲律宾
604,全球
605,感染
606,人数
607,超
609,万例
610,世卫
611,组织
612,全球
616,达到
620,疫情
623,控制
624,意法
625,多国
626,违规
627,外出
628,增多
629,全球
630,防疫
631,形势
632,紧张
633,无证据
634,证明
636,柳絮
637,中存
639,病毒
640,热评
641,两岸
643,两岸
644,渐行
645,渐远
648,现实
650,和平
651,发展
652,大势
653,不变
654,日本
655,爱心
656,人士
659,中国
660,捐
662,万
663,口罩
664,沈阳
665,铁路
668,旅客列车
669,恢复
670,开行
671,意大利
672,小镇
673,出台
674,规定
675,外出
678,口罩
679,摩洛哥
689,死亡
692,老挝
703,非洲
708,超
711,仅余
714,尚未
715,出现
718,白俄罗斯
726,境外
727,输入
730,相关
731,情况
732,亚美尼亚
739,格鲁吉亚
747,以色列
758,惊心动魄
759,两名
760,游客
761,被困
762,深山
763,悬崖
764,消防
766,小时
767,生死
768,营救
769,海关
770,检疫
771,部门
773,发现
778,俄罗斯
789,俄罗斯
800,英国首相
801,鲍里斯
802,约翰逊
804,继续
805,领导
806,政府
807,俄罗斯
818,山东
819,最后
821,医疗队
822,撤离
823,华西
824,挥别
825,齐鲁
826,美国
827,西班牙
828,意大利
831,总和
832,超
834,万
835,韩国
837,名新冠
839,患者
840,康复
842,检测
844,阳性
845,韩国
846,首次
848,拒绝
849,隔离
851,外国人
852,驱逐出境
853,民航局
855,安排
857,架次
858,临时
859,航班
860,接回
863,中国
864,公民
866,我国
867,接壤
868,国家
869,疫情
870,输入
871,风险
872,攀升
873,韩国
876,治愈
877,患者
878,复
879,阳
880,原因
881,待查
882,上海
887,日前
888,来沪且
891,集中
892,隔离
894,入境
895,人员
896,进行
898,病毒检测
899,乌克兰
910,澳大利亚
911,新南威尔士州
912,政府
913,宣布
914,疫情
915,期间
916,短租
917,住宿
918,不得
919,接单
920,刚果
931,沙特
942,法国
949,法国
954,国务院
955,联防
956,联控
957,机制
958,举行
959,新闻
960,发布会
961,吉尔吉斯斯坦
972,孟加拉国
982,阿曼
993,乌兹别克斯坦
998,增至
1001,超
1003,万人
1004,处于
1005,隔离
1006,状态
1007,德国
1018,印度
1019,护士
1020,协会
1021,递交
1022,请愿书
1023,装备
1024,不足
1025,面临
1026,感染
1027,风险
1028,上海
1033,日前
1035,沪
1037,处在
1038,集中
1039,隔离
1040,健康
1041,观察期
1043,入境
1044,人员
1045,进行
1047,病毒检测
1049,空军
1050,飞行员
1056,感染
1057,美国
1058,FDA
1061,多次
1062,变脸
1063,最终
1064,接受
1065,符合中国
1066,标准
